wellId,MD,Inclination,Azimuth,TVD,TVDSS,North,East,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_A,5783.59,0.64,116.42,5783.24,5607.24,-28.23,37.41,775547.53,3296862.35,0.13,-15.07,0.05,-11.09,32.89,42.48,41.46,10.32,40.15,29.77150556,47.84973833,29.77142556,47.84985389
well_A,5884.3,0.79,113.51,5883.94,5707.94,-28.76,38.56,775547.88,3296862.19,0.15,144.51,0.15,-2.89,33.57,42.57,41.5,10.46,39.82,29.77150556,47.84973833,29.77142389,47.8498575
well_A,5984,0.71,118.26,5983.63,5807.63,-29.32,39.73,775548.24,3296862.02,0.1,141.04,-0.08,4.76,34.28,42.66,41.54,10.6,39.53,29.77150556,47.84973833,29.77142222,47.84986111
well_A,6085.51,0.6,127.38,6085.14,5909.14,-29.94,40.71,775548.53,3296861.83,0.15,-167.54,-0.11,8.98,35.03,42.75,41.59,10.74,39.39,29.77150556,47.84973833,29.77142056,47.84986417
well_A,6186.13,0.35,118.13,6185.75,6009.75,-30.41,41.4,775548.74,3296861.69,0.26,-130.11,-0.25,-9.19,35.58,42.84,41.63,10.89,39.25,29.77150556,47.84973833,29.77141917,47.84986639
well_A,6285.06,0.27,85.52,6284.68,6108.68,-30.53,41.89,775548.9,3296861.65,0.19,-140.77,-0.08,-32.96,35.77,42.92,41.68,11.04,38.75,29.77150556,47.84973833,29.77141889,47.84986778
well_A,6386.08,0.18,53.19,6385.7,6209.7,-30.42,42.26,775549.01,3296861.68,0.15,123.95,-0.09,-32,35.7,42.99,41.72,11.19,37.81,29.77150556,47.84973833,29.77141917,47.84986889
well_A,6494.38,0.15,81.67,6494,6318,-30.3,42.54,775549.09,3296861.72,0.08,-143.47,-0.03,26.3,35.62,43.07,41.77,11.35,36.79,29.77150556,47.84973833,29.77141944,47.84987
well_A,6621.08,0.56,307.37,6620.7,6444.7,-29.9,42.21,775548.99,3296861.84,0.53,-32.28,0.32,-106,35.18,43.12,41.84,11.55,36.24,29.77150556,47.84973833,29.77142056,47.84986889
well_A,6721.5,0.62,303.93,6721.11,6545.11,-29.3,41.37,775548.74,3296862.03,0.07,23.56,0.06,-3.43,34.47,43.12,41.89,11.71,216.16,29.77150556,47.84973833,29.77142222,47.84986639
well_A,6800,1.9,320,6799.59,6623.59,-28.06,40.18,775548.37,3296862.4,1.68,-57.07,1.63,20.47,33.09,43.12,41.91,8.33,36.18,29.77150556,47.84973833,29.77142583,47.8498625
well_A,6811,2.05,314,6810.59,6634.59,-27.79,39.92,775548.29,3296862.49,2.32,167.83,1.36,-54.55,32.78,43.12,41.91,8.34,36.18,29.77150556,47.84973833,29.77142667,47.84986194
well_A,6829,0.88,331.24,6828.58,6652.58,-27.44,39.62,775548.2,3296862.59,6.87,147.71,-6.5,95.78,32.4,43.12,41.91,8.35,36.18,29.77150556,47.84973833,29.7714275,47.84986083
well_A,6884,4.13,112.43,6883.54,6707.54,-27.83,41.25,775548.7,3296862.47,8.81,78.29,5.91,256.71,33,43.13,41.94,12.52,36.9,29.77150556,47.84973833,29.77142639,47.84986611
well_A,6927,7.98,160.4,6926.31,6750.31,-31.23,43.68,775549.44,3296861.44,14.06,15.72,8.95,111.56,36.69,43.15,42,12.6,218.56,29.77150556,47.84973833,29.77141694,47.84987333
well_A,6964,12.89,166.51,6962.69,6786.69,-37.67,45.51,775550,3296859.47,13.58,21.79,13.27,16.51,43.31,43.16,42.03,12.66,218.63,29.77150556,47.84973833,29.77139889,47.84987861
well_A,7059,23.33,176.69,7052.88,6876.88,-66.84,49.08,775551.09,3296850.58,11.44,-1.65,10.99,10.72,72.7,43.26,42.22,12.64,224.97,29.77150556,47.84973833,29.77131861,47.84988778
well_A,7154,33.27,176.17,7136.42,6960.42,-111.73,51.91,775551.95,3296836.89,10.47,-7.16,10.46,-0.55,117.58,43.39,42.48,13.01,233.8,29.77150556,47.84973833,29.771195,47.84989306
well_A,7249,40,174.86,7212.61,7036.61,-168.21,56.39,775553.32,3296819.66,7.13,-3.45,7.08,-1.38,174.15,43.58,42.58,13.45,237.89,29.77150556,47.84973833,29.77103944,47.84990278
well_A,7345,43.92,174.52,7283.99,7107.99,-232.1,62.34,775555.13,3296800.18,4.09,-2.87,4.08,-0.35,238.28,43.69,42.67,13.75,237.38,29.77150556,47.84973833,29.77086333,47.84991667
well_A,7440,50.21,174.11,7348.67,7172.67,-301.28,69.24,775557.24,3296779.08,6.63,-6.19,6.62,-0.43,307.76,43.76,42.8,13.99,235.05,29.77150556,47.84973833,29.77067278,47.84993278
well_A,7535,55.95,173.36,7405.71,7229.71,-376.74,77.54,775559.77,3296756.07,6.07,-3.72,6.04,-0.79,383.66,43.88,42.97,14.34,231.28,29.77150556,47.84973833,29.77046472,47.84995333
well_A,7630,61.65,172.94,7454.9,7278.9,-457.39,87.24,775562.72,3296731.47,6.01,-5.07,6,-0.44,464.88,44.01,43.17,14.69,224.28,29.77150556,47.84973833,29.7702425,47.8499775
well_A,7725,69.04,172.24,7494.5,7318.5,-542.94,98.38,775566.12,3296705.38,7.81,1.81,7.78,-0.74,551.16,44.21,43.37,15.09,213.89,29.77150556,47.84973833,29.77000639,47.85000583
