wellId,md,inc,azim,tvd,TVD from Fld Ref,n_s_deviaition,e_w_deviation,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_C,4700,1.86,204.39,4699.27,4581.27,-55.86,-32.66,769506.04,3300787.97,0.18,156.25,0.05,-5.45,-64.68,41.84,41.11,8.99,123.34,29.80829444,47.78852083,29.80814306,47.78841361
well_C,4800,1.63,208,4799.22,4681.22,-58.59,-34,769505.63,3300787.13,0.25,174.23,-0.23,3.61,-67.71,41.91,41.15,9.1,123.13,29.80829444,47.78852083,29.80813556,47.78840917
well_C,4900,1.51,208.46,4899.19,4781.19,-61,-35.29,769505.24,3300786.4,0.12,-74.25,-0.12,0.46,-70.44,41.98,41.18,9.21,122.97,29.80829444,47.78852083,29.80812917,47.788405
well_C,5000,1.57,201.98,4999.15,4881.15,-63.43,-36.43,769504.89,3300785.66,0.18,-152.73,0.06,-6.48,-73.11,42.06,41.22,9.33,122.76,29.80829444,47.78852083,29.8081225,47.78840111
well_C,5100,1.09,187.95,5099.12,4981.12,-65.65,-37.08,769504.69,3300784.98,0.58,-155.08,-0.48,-14.03,-75.32,42.13,41.26,9.45,122.32,29.80829444,47.78852083,29.80811639,47.78839889
well_C,5200,0.99,185.23,5199.11,5081.11,-67.45,-37.29,769504.63,3300784.43,0.11,-118.74,-0.1,-2.72,-76.97,42.21,41.29,9.57,121.72,29.80829444,47.78852083,29.80811139,47.78839806
well_C,5300,0.88,165.95,5299.09,5181.09,-69.05,-37.18,769504.66,3300783.94,0.33,-48.47,-0.11,-19.28,-78.27,42.28,41.33,9.69,120.94,29.80829444,47.78852083,29.80810722,47.78839833
well_C,5400,0.91,163.86,5399.08,5281.08,-70.56,-36.77,769504.79,3300783.48,0.04,-114.22,0.03,-2.09,-79.34,42.35,41.37,9.82,120,29.80829444,47.78852083,29.80810306,47.78839944
well_C,5500,0.83,138.75,5499.07,5381.07,-71.87,-36.07,769505,3300783.08,0.39,148.57,-0.08,-25.11,-80.08,42.41,41.41,9.95,118.92,29.80829444,47.78852083,29.80809917,47.78840167
well_C,5600,0.77,253.13,5599.06,5481.06,-72.61,-36.24,769504.95,3300782.86,1.35,-153.47,-0.06,114.38,-80.79,42.48,41.46,10.08,298.69,29.80829444,47.78852083,29.80809722,47.78840111
well_C,5700,0.64,132.16,5699.06,5581.06,-73.18,-36.47,769504.88,3300782.68,1.23,100.63,-0.13,-120.97,-81.4,42.55,41.5,10.21,118.33,29.80829444,47.78852083,29.80809583,47.78840028
well_C,5800,0.91,189.07,5799.05,5681.05,-74.34,-36.18,769504.97,3300782.33,0.78,-111.52,0.27,56.91,-82.23,42.62,41.54,10.34,117.59,29.80829444,47.78852083,29.8080925,47.78840111
well_C,5900,0.94,141.79,5899.04,5781.04,-75.77,-35.8,769505.08,3300781.9,0.74,176.36,0.03,-47.28,-83.24,42.69,41.59,10.48,116.91,29.80829444,47.78852083,29.80808861,47.78840222
well_C,6000,0.66,143.34,5999.03,5881.03,-76.87,-34.95,769505.34,3300781.56,0.28,169.52,-0.28,1.55,-83.73,42.76,41.63,10.62,115.86,29.80829444,47.78852083,29.80808556,47.78840472
well_C,6100,1.09,306.53,6099.03,5981.03,-76.77,-35.37,769505.21,3300781.59,1.73,173.06,0.43,163.19,-83.86,42.82,41.68,10.77,295.93,29.80829444,47.78852083,29.80808583,47.78840333
well_C,6200,0.91,111.26,6199.02,6081.02,-76.49,-35.39,769505.21,3300781.67,1.98,72.26,-0.18,164.73,-83.64,42.89,41.72,10.91,115.99,29.80829444,47.78852083,29.80808667,47.78840333
well_C,6300,0.95,117.69,6299.01,6181.01,-77.16,-33.92,769505.66,3300781.47,0.11,-122.72,0.04,6.43,-83.43,42.95,41.77,11.06,114.84,29.80829444,47.78852083,29.80808444,47.78840806
well_C,6400,0.8,87.41,6399,6281,-77.52,-32.49,769506.09,3300781.36,0.48,-37.67,-0.15,-30.28,-82.98,42.99,41.81,11.21,113.76,29.80829444,47.78852083,29.80808361,47.7884125
well_C,6450.67,4.91,55.44,6449.59,6331.59,-76.27,-30.35,769506.75,3300781.74,8.39,-13.57,8.11,-63.09,-80.79,43,41.83,11.28,113.58,29.80829444,47.78852083,29.80808667,47.78841944
well_C,6532,10.35,48.23,6530.18,6412.18,-69.42,-22.02,769509.28,3300783.83,6.78,8.25,6.69,-8.87,-70.58,43.07,41.83,11.83,113.98,29.80829444,47.78852083,29.808105,47.78844611
well_C,6625,15.28,50.93,6620.83,6502.83,-56.13,-6.27,769514.09,3300787.88,5.34,-5.85,5.3,2.9,-50.97,43.16,41.84,11.99,114.96,29.80829444,47.78852083,29.80814056,47.78849667
